 Responsibility, Team1, Team2, Team 3, Status, Update Date
"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",x,x,,Draft,01/01/2023
Aenean commodo ligula eget dolor. Aenean massa.,,,x,Draft,02/01/2023
"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",,x,,Draft,03/01/2023
"Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem.",,,x,Draft,04/01/2023
Nulla consequat massa quis enim.,x,,,Draft,05/01/2023
"Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu.",,x,,Draft,06/01/2023
"In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo.",x,,,Draft,07/01/2023
Nullam dictum felis eu pede mollis pretium. Integer tincidunt.,,x,,Draft,08/01/2023
Cras dapibus. Vivamus elementum semper nisi.,,,x,Draft,09/01/2023
Aenean vulputate eleifend tellus.,,x,,Draft,10/01/2023
"Aenean leo ligula, porttitor eu, consequat vitae, eleifend ac, enim. Aliquam lorem ante, dapibus in, viverra quis, feugiat a,",x,,,Draft,11/01/2023